Date,Sales,Category,Region,UnitsSold,Price
2023-01-01,2450,Electronics,North,49,50
2023-01-02,2610,Fashion,South,87,30
2023-01-03,1980,Groceries,East,110,18
2023-01-04,3100,Electronics,West,62,50
2023-01-05,2800,Fashion,North,93,30
2023-01-06,2100,Groceries,South,115,18
2023-01-07,3250,Electronics,East,65,50
2023-01-08,2750,Fashion,West,91,30
2023-01-09,2250,Groceries,North,120,18
2023-01-10,3350,Electronics,South,67,50
2023-01-11,2850,Fashion,East,95,30
2023-01-12,2150,Groceries,West,118,18
2023-01-13,3400,Electronics,North,68,50
2023-01-14,2900,Fashion,South,96,30
2023-01-15,2300,Groceries,East,122,18
2023-01-16,3450,Electronics,West,69,50
2023-01-17,2950,Fashion,North,98,30
2023-01-18,2350,Groceries,South,124,18
2023-01-19,3500,Electronics,East,70,50
2023-01-20,3000,Fashion,West,100,30
2023-01-21,2400,Groceries,North,125,18
2023-01-22,3600,Electronics,South,72,50
2023-01-23,3050,Fashion,East,101,30
2023-01-24,2450,Groceries,West,126,18
2023-01-25,3650,Electronics,North,73,50
2023-01-26,3100,Fashion,South,102,30
2023-01-27,2500,Groceries,East,128,18
2023-01-28,3700,Electronics,West,74,50
2023-01-29,3150,Fashion,North,103,30
2023-01-30,2550,Groceries,South,130,18
2023-01-31,3800,Electronics,East,76,50
